Name,Sport(s),Address,Booking Link,Amenities/Notes
Action Central,"netball, cricket, football","911 Dominion Road, Mount Roskill, Auckland, 1041",https://actionindoorsports.com/central/court-hire/,"Our courts are available for hire outside of our normal competition hours. Casual court hire, at short notice, or on a regular basis. We&#039;ve got you covered!"
Tepid Baths,swimming,"100 Customs Street West, auckland, 1010",https://www.aucklandleisure.co.nz/css/leisurestyle.css,
Point Erin Pool,swimming,"Auckland, New Zealand",https://www.clmnz.co.nz/pt-erin-pool/bookings/,"Point Erin Pool is the perfect spot to gather your friends, team mates, work mates and family to celebrate in the summer sun. We have spaces for all occasions."
Woodhill Mountain Bike Park,mtb,"Auckland, New Zealand",https://www.bikeparks.co.nz/bike-hire,Auckland&#039;s Homeground for Mountain Biking
Waitemata Rugby Football Club,rugby union,"Auckland, New Zealand",https://prodcdn.sporty.co.nz/cms/14713/favicon.png,
Te Pai Centre,netball,"31-35 Te Pai Place, Henderson",https://www.tepaicentre.co.nz/blank-2,HOME
Cameron Pools,swimming,"53 Arundel Street, Mount Roskill, Auckland, 1041",https://www.clmnz.co.nz/cameron-pool-and-leisure-centre/facility-rules/,Keeping the community safe while using our facility is at the forefront of everything we do. To help us keep you safe we ask you to please follow our facility rules.
Paradice Ice Skating,"ice skating, ice hockey","490 Ti Rakau Drive, Golflands",https://www.paradice.co.nz/book,Book Paradice Avondale
Netball North Harbour,netball,"Auckland, New Zealand",https://prodcdn.sporty.co.nz/cms/16565/favicon.png,
Millennium Institute of Sport,swimming,"17 Antares Place, Auckland",https://facebook.com/autmillennium,
Herne Bay Ponsonby Rackets Club,tennis,"Auckland, New Zealand",https://hernebayrackets.helloclub.com/public/calendar/month/all/2024-08-28,
Onehunga War Memorial Pool,,"1 Park Gardens, Onehunga, Auckland, 1061",https://www.ymcanorth.org.nz/programmes-listing/venue-hire/,"Planning an event – whether you’re looking for a kids birthday party venue in Auckland or coordinating an AGM – can be hectic. But it doesn’t have to be! With a variety of different facilities, including rooms, stadiums and halls for hire across Auckland and Hamilton, we make the"
Howick Squash,squash,"41 Meadowland Drive, Manukau, 2014",https://meadowlands.helloclub.com/,
Blastacars Auckland,karting,"Auckland, New Zealand",https://bookings.racefacer.com/blastacarsauckland,
Birkenhead Pool and Leisure Centre,,"Auckland, New Zealand",https://aucklandleisure.co.nz/css/leisurestyle.css,
Extreme Edge,climbing,"32 Morrin Road, 1072",https://www.facebook.com/extremeedgepanmure/,"Extreme Edge Rock Climbing Panmure, Auckland. 4,714 likes &#xb7; 5 talking about this &#xb7; 17,360 were here. Extreme Edge Panmure...
We are New Zealand&#039;s largest..."
Game Over Auckland,karting,"Auckland, New Zealand",https://book.gameoverauckland.co.nz/,
Active Badminton Centre,badminton,"Auckland, New Zealand",https://www.bnh.org.nz/play-badminton/court-hire/,Badminton North Harbour features 11 international-standard courts that are available for members and the public to hire.
Skateland,roller skating,"Auckland, New Zealand",https://www.skateland.co.nz/contact-us/,
Waiheke Bowling Club,,"Auckland, New Zealand",https://waihekebowlingclub.co.nz/#,"rollber errors. (function() { var rollbarWarnedMigrations = {}; function warnRollbarAboutMigrationError(msg) { if(rollbarWarnedMigrations[msg]) return; rollbarWarnedMigrations[msg] = true; var fullMessage = ""jQuery Migrate Warned: "" + msg; // console.warn(fullMessage); if(Rollbar"
Mission Bay Tennis Club,tennis,"11a Marau Crescent, Auckland, 1071",https://clubspark.kiwi/MissionBayTC/Membership/Join,Membership
Snowplanet,skiing,"91 Small Road, Silverdale",https://bookings.snowplanet.co.nz/book,"91 Small Road, Silverdale, Auckland"
Waterhole Swimming Centre,swimming,"Auckland, New Zealand",https://waterholeswimcentre.kiwi/book-online,Home
Maraetai Tennis Club,tennis,"Auckland, New Zealand",https://www.sporty.co.nz/,
Three Kings Tennis Pavilion,tennis,"Auckland, New Zealand",mailto:venuehire@aucklandcouncil.govt.nz?Subject=Enquiry%20on%20Three%20Kings%20Tennis%20Pavilion,
Pukekohe Park,"horse racing, motor","Auckland, New Zealand",https://www.pukekohepark.co.nz/#,"Enjoy top-class entertainment at Ellerslie &amp; Pukekohe Park with Auckland Thoroughbred Racing. Explore racedays, hospitality, and events at our two Auckland racecourses."
AUT Millennium,,"Auckland, New Zealand",https://www.eventbrite.com/e/empowering-young-women-through-strength-training-tickets-1554936199029?aff=oddtdtcreator,"Eventbrite - AUT Millennium presents Empowering Young Women Through Strength Training - Thursday, 21 August 2025 at AUT Millennium, Auckland, Auckland. Find event and ticket information."
Gladstone Tennis Club,tennis,"Auckland, New Zealand",https://www.gladstonetennis.co.nz/book-online,
Parnell Lawn Tennis Club,tennis,"Auckland, New Zealand",https://prodcdn.sporty.co.nz/cms/16033/favicon.png,
New Lynn Bowls,bowls,"Auckland, New Zealand",https://newlynnbowls.co.nz/facilities,New Lynn Bowling Club provides a fun environment for members of the community.
Swimtastic,swimming,"Auckland, New Zealand",https://www.swimtastic.co.nz/booking-portal-how-to-use,
Fourforty Mountain Bike Park,mtb,"Auckland, New Zealand",https://www.fourfortymtbpark.co.nz/page/book-now/,"Shop Blog Home Page Shop Book Now Park Information Plan Your Trip Contact Us Events Accommodation "" data-cycle-pause-on-hover=""true"" data-cycle-speed=""1500"" data-cycle-loader=""true"" data-cycle-progressive=""#feature-progressive-slides"" > [] Searching Availability..."
Laser Strike,shooting,"Auckland, New Zealand",https://laserstrikenz.co.nz/order.php,1st Laser Tag Order
West Harbour Tennis & Pickleball Club,"tennis, pickleball","Auckland, New Zealand",https://clubspark.kiwi/Library/WestHarbourTennisandPickleballClub?command=Proxy&amp;type=Favicons&amp;currentFolder=%2f&amp;fileName=whtcpbfavicom.png&amp;thumbnail=whtcpbfavicom__32x32.png&amp;cache=31536000,
Muay Thai Institute,"muay thai,  boxing,  mma","6 College Street, Wellington, 6011",https://maps.app.goo.gl/v7v6gognCti779Eo9,
Island Bay Tennis & Squash Club,,"2 The Parade, Island Bay",https://auth.helloclub.com/signin?response_type=code&amp;redirect_uri=https://islandbaytsc.helloclub.com/oAuthCallback&amp;state=7uqWa4su1Hx5elV3Hzo2D5yxE4Bq3F5H&amp;client_id=frello&amp;code_challenge=EBtHaZoM3sjvHqcdnBOSnF2z-1_VwvDY_hOXA1eGNto&amp;code_challenge_method=S256&amp;signup=false,
The Thorndon Club,"squash, tennis","4 Katherine Avenue, Thorndon, Wellington, 6011",https://thorndon.helloclub.com/?_gl=1*1kwnnf3*_gcl_au*NzgzNzA0NDY4LjE3MjExMjI2NjA,
Miramar Tennis Club,tennis,"Wellington, New Zealand",https://www.sportsground.co.nz/Content/google-fonts.css,
Tawa Pool,swimming,"Wellington, New Zealand",https://wellington.govt.nz/recreation/facilities-and-centres/swimming-pools/pool-rules-and-safety#lane-or-pool-hire,"To keep everyone safe and healthy at the pools, we have rules about the supervision of children, hygiene and illness."
Muritai Tennis Club,tennis,"358 Muritai Road, Eastbourne, Lower Hutt, 5013",https://clubspark.kiwi/Content/Icons/favicon.ico?c=en-GB&amp;v=638900865730000000-257000,
Laser Strike,laser tag,"Christchurch, New Zealand",https://www.laserstrike.co.nz/groups/,"Laser Strike is by far the best group social activity in Christchurch. Ideal to organise your corporate team building event, enjoy indoor fun group activities, stags, team bonding with your sports team &amp;cool birthday parties."
Seido Karate,karate,"174 Barbadoes Street, Christchurch Central, Christchurch, 8011",https://www.trybooking.com/nz/VYX,Christchurch Seido Shibu 60th Anniversary - The Christchurch dojo was founded in 1965. In 1976 Eiko Hanshi Renzie Hanham and Eiko Hanshi Andy Barber joined Kaicho&amp;#39;s nascent World Seido Karate...
Cashmere Croquet Club,croquet,3A Valley Road,https://www.sporty.co.nz/cashmerecroquet,
Bishopdale Recreation Centre,"fitness, basketball, squash, gym, gymnastics","Christchurch, New Zealand",https://thekindfoundation.org.nz/our-places/bishopdale-recreation-centre/#hire,Our Places Recreation Centres Adventure Centre Clip ‘n Climb Bishopdale Recreation Centre Elevate Fitness Bishopdale Papa Hou Elevate Fitness Papa Hou Learning 4C Centre Pūmanawa ELC Papa Hou Pūmanawa ELC Bishopdale Camps Wainui Park Arthur’s Pass Outdoor Education Centre Venues 
Battle Axe Throwing,axe throwing,"105 Orbell Street, Christchurch, 8023",https://sportscarnival.com/clubs/battle_axe_throwing/schedules/714,
Burnside Rugby Football Club,rugby,"Christchurch, New Zealand",https://prodcdn.sporty.co.nz/cms/18302/favicon.png,
Jellie Park Recreation and Sport Centre,,"Christchurch, New Zealand",https://ccc.govt.nz/pool-hire/,
Wharenui Sports Centre,"swimming, basketball, roller skating, multi","73 Elizabeth Street, Christchurch, 8041",https://wharenuisc.friendlymanager.com/login,
Y Adventure Centre,climbing,"239 Waltham Road, Sydenham, Christchurch, 8023",https://ymcachch.org.nz/fitness-and-climbing/adventurecentre/#spaces-for-hire,Our Places Recreation Centres Adventure Centre Clip ‘n Climb Bishopdale Recreation Centre Elevate Fitness Bishopdale Papa Hou Elevate Fitness Papa Hou Learning 4C Centre Pūmanawa ELC Papa Hou Pūmanawa ELC Bishopdale Camps Wainui Park Arthur’s Pass Outdoor Education Centre Venues 
Avonhead Park Tennis Court,tennis,"Christchurch, New Zealand",https://clubspark.kiwi/TKHPtennis,Te Kura Hagley Park Tennis Club is based in the heart of Christchurch in Hagley Park. We are a thriving club that welcomes players of all ages and abilities. We have comprehensive tennis coaching and playing options for junior and senior players in social and competitive settings
Supa Karts,karting,"Christchurch, New Zealand",https://www.facebook.com/Supakartschch/,"Supa Karts Indoor Raceway, Christchurch. 5,340 likes &#xb7; 22 talking about this &#xb7; 1,690 were here. At Supa Karts - Next Level Racing, thrill-seekers and..."
Game Over,karting,"Christchurch, New Zealand",https://book.gameoverchristchurch.co.nz/,
Olympia Gymnastic Sports,,"Christchurch, New Zealand",https://gnz.friendlymanager.com/login?forgot=1&club=olympiagymnastics,
Redwood Tennis Club,tennis,"345 Main North Road, Redwood, Christchurch, 8051",https://www.redwoodtennis.co.nz/register-online,
Mount Pleasant Squash Club,squash,"Christchurch, New Zealand",https://www.mtpleasantsquash.co.nz/casual/,Interested in a casual game of squash? We have set up a casual payment system for both new and existing members that want to access the courts as they please. Simply follow the steps below and you will have an access code and court booked in under 2 minutes!
Burnside Squash club,squash,"Christchurch, New Zealand",https://www.burnsidesquash.com/book,This domain may be for sale!
Canterbury Table Tennis,table tennis,"294 Blenheim Road, Upper Riccarton, Christchurch, 8041",https://ttcanterbury.org.nz/bookings,
Ngā Puna Wai Sports Hub,"athletics, rugby union, hockey, shot-put, long jump","Christchurch, New Zealand",https://www.sporty.co.nz/sissjuniornetball/Home?em=0,
Wilding Park Tennis Centre,tennis,"Christchurch, New Zealand",https://www.pay2play.co.nz/bookings/session_select/82,
Flips & Tumbles,"gymnastics, trampoline","12 Musgrove Close, Wigram, Christchurch, 8025",https://www.flipsandtumblesnz.com/bookpersession,"Whether you want to learn a cartwheel, an aerial, a walkover or even just a handstand!
You don’t want to miss out on joining one of our Tumbling Classes!"
Waikato Equestrian Centre,equestrian,"1340 Pukete Road, 3288",https://horses.net.nz/index.php/the-venue/,Waikato Equestrian Centre Home The Venue Facilities Map About WEC WEC History WCEG Inc Trophies Rules and Policies Riding School Riding School Pony Experience Time (“PET”) Beginner/Lead Rein Foundation Course Farm Rides Lessons Lessons Instructors Pony Trainees School Holidays To
The Peak,basketball,"60 Kimbrae Drive, 3210",https://rototunarec.skedda.com/booking,The Peak - Te Pumanawa o Rototuna online booking system. Powered by skedda.com
Kartsport Hamilton,karting,"Hamilton, New Zealand",https://prodcdn.sporty.co.nz/cms/147048/favicon.png,
Blastacars Hamilton,karting,"Hamilton, New Zealand",https://bookings.racefacer.com/blastacarshamilton?fbclid=IwAR36ZriE4tG37uUsDAJJ6-aWpgV8fG6owKhadd19DbubdRAmKlVsb3qUpYE,
St Peters Tennis Club,tennis,Palmerston Street,https://www.facebook.com/stpeterstennisclub,"St Peters Tennis Club, Hamilton. 479 likes &#xb7; 1 talking about this &#xb7; 221 were here. Hamilton&#039;s Home of Tennis"
Hamilton Yacht Club,,"Hamilton, New Zealand",https://hamiltonyachtclub.friendlymanager.com/login?forgot=1,
Ace Learn to Swim,swimming,"Hamilton, New Zealand",https://form.jotform.com/Ace_Learn/ace-enrolment-form,Please click the link to complete this form.
BayActive,,"Tauranga, New Zealand",https://bayactive.co.nz/find-a-venue,This website requires Javascript for some parts to function properly. Your experience may vary.
Mount Maunganui Sports Centre,,"2 Hull Road, Mount Maunganui",https://www.bayvenues.co.nz/assets/downloadables/Terms-and-Conditions-of-Hire.pdf,
Skatescool Tauranga,roller skating,"2 Roxanne Place, Poike, Tauranga, 3112",https://www.facebook.com/skatescooltauranga,"Skatescool Tauranga. 2,933 likes &#xb7; 1 talking about this. Roller skating classes for kids and adults (contact us for more info, classes run throughout the..."
Tauranga Bridge Club,,"252 Ngatai Road, Otūmoetai",https://taurangabridge.helloclub.com/,
Resistance Climbing,climbing,"Moray Place, Dunedin",https://www.resistanceclimbing.co.nz/booking,"0 Skip to Content @supports (-webkit-backdrop-filter: none) or (backdrop-filter: none) { .header-blur-background { -webkit-backdrop-filter: blur(12px); backdrop-filter: blur(12px); } } Info FAQs About us Memberships Pricing Coaching Contact First Visit? .top-bun, .patty, .bottom-"
Ocean Spa,swimming,"Napier, New Zealand",https://www.facebook.com/oceanspanapier/,"Ocean Spa Napier, Napier. 9,190 likes &#xb7; 93 talking about this &#xb7; 8,352 were here. Ocean Spa is Napier&#x2019;s premier heated pool complex. Relax, reenergise and..."
Todd Energy Aquatic Centre,swimming,"8-10 Tisch Avenue, New Plymouth",https://www.npdc.govt.nz/todd-energy-aquatic-centre/facilities/book/,"The Barclay Room at the Todd Energy Aquatic Centre is available for hire. It is suitable for children’s birthday parties or meetings and the chairs and trestle tables are available at no extra charge. A small kitchen contains an instant hot water unit, a microwave and sink with r"
The Gravity Well,climbing,"Nelson, New Zealand",https://thegravitywell.gymmasteronline.com/portal/enquiry?session=eyJjb250ZXh0X2NvbXBhbnlpZCI6MiwibGFuZ3VhZ2UiOiJlbl9HQiIsImlwX2FkZHIiOiIxMjEuOTguMjI4LjIxIn0.ZMtLJg.vVoxMsekjkhHLB-clE99rk4oN5g,
Pole Artistry,"pole dance, yoga, aerial yoga","120 Hardy Street, Nelson, Nelson, 7011",https://poleartistry.gymmasteronline.com/portal/account/classcalendar,
Skate Nelson,roller skating,"Nelson, New Zealand",http://www.skatenelson.nz/parties-private-hires-nelson.html,Parties - Private Hires in Nelson
Richmond Aquatic Centre,swimming,"Nelson, New Zealand",https://www.clmnz.co.nz/richmond/bookings/,You are using an outdated browser. Please upgrade your browser
Queenstown Indoor Climbing,climbing,"Queenstown, New Zealand",https://www.basecampadventures.co.nz/book-outdoor-climbing-clip-n-climb/,"Book your Wanaka &amp; Queenstown Outdoor climbing, mountaineering, showshoeing or alpine walks here. Also book online for Clip &#039;n Climb Wanaka &amp; Queenstown."
The Remarkables Ski Area,skiing,"Queenstown, New Zealand",https://shop.theremarkables.co.nz/shop/product/336,
Southland Cricket Indoor Facility,cricket,"Gala Street, 9810",https://www.southlandcricket.co.nz/facility-hire,Catch all the action off the field. Subscribe to our newsletter. Stay Updated
